#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2024-12-11T19:44:58 [V7.4.2]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO service_protocol=ASU   IVOID of the protocol through which the data was retrieved
#INFO request_date=2024-12-11T19:44:58   Query execution date
#INFO request=https://vizier.cfa.harvard.edu/viz-bin/asu-txt?-oc.form=sexa&-out.max=99999&-source=J/A+A/605/A103/hd20794&-order=I&-out=RJD&-out=RV&-out=e_RV&-out=BIS&-out=FWHM&-out=Halpha&-out=logR&apos;(HK)&-#out=NaD1&-out=NaD2&-out=3AP2-1&-out=3AP3-2&-out=6AP2-1&-out=6AP3-2&-out=6AP4-3&-out=6AP5-4&-out=6AP6-5&-out=9AP2-1&-out=9AP3-2&-out=9AP4-3&-out=9AP5-4&-out=9AP6-5&-out=9AP7-6&-out=9AP8-7&-out=9AP9-8&   Full request #URL (POST)
#INFO contact=cds-question@unistra.fr   Email or URL to contact publisher
#INFO server_software=7.4.2   Software version
#INFO publisher=CDS   Data centre that produced the VOTable

#RESOURCE=yCat_36050103
#Name: J/A+A/605/A103
#Title: HD20794 HARPS radial velocities (Feng+, 2017)
#INFO ivoid=ivo://cds.vizier/j/a+a/605/a103     IVOID of underlying data collection     
#INFO creator=Feng F.     First author or institution     
#INFO cites=bibcode:2017A&A...605A.103F     Article or Data origin sources     
#INFO editor=Astronomy and Astrophysics     Editor name (article)     
#INFO original_date=2017     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/605/A103     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.36050103     Dataset identifier that can be used for citation     
#INFO publication_date=2017-09-18     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_A_A_605_A103_hd20794:
#Name: J/A+A/605/A103/hd20794
#Title: HARPS radial velocities for HD20794 and corresponding noise proxies
#---Details of Columns:
#    RJD (d)      (F11.5) Reduced Julian Date (JD-2400000) [ucd=time.epoch]
#    RV (m/s)     (F9.5)  Radial velocity variation [ucd=phys.veloc;arith.diff]
#    e_RV (m/s)   (F8.5)  rms uncertainty on radial velocity [ucd=stat.error]
#    BIS (m/s)    (F9.5)  Bisector span of the cross-correlation function [ucd=phys.veloc]
#    FWHM (km/s)  (F8.5)  Cross-correlation function (CCF) FWHM [ucd=spect.line.width]
#    Halpha       (F8.5)  Activity index H-alpha [ucd=spect.index;em.line.Halpha]
#    logR'(HK)    (F8.5)  Activity index logR'(HK) [ucd=meta.code;spect.index;em.opt.R]
#    NaD1         (F8.5)  Activity index Sodium NaD1 [ucd=spect.index]
#    NaD2 (m/s)   (F8.5)  Activity index Sodium NaD2 [ucd=spect.index]
#    3AP2-1 (m/s) (F8.5)  Differential radial velocity 3AP2-1 [ucd=phys.veloc;arith.diff]
#    3AP3-2 (m/s) (F8.5)  Differential radial velocity 3AP3-2 [ucd=phys.veloc;arith.diff]
#    6AP2-1 (m/s) (F8.5)  Differential radial velocity 6AP2-1 [ucd=phys.veloc;arith.diff]
#    6AP3-2 (m/s) (F8.5)  Differential radial velocity 6AP3-2 [ucd=phys.veloc;arith.diff]
#    6AP4-3 (m/s) (F8.5)  Differential radial velocity 6AP4-3 [ucd=phys.veloc;arith.diff]
#    6AP5-4 (m/s) (F8.5)  Differential radial velocity 6AP5-4 [ucd=phys.veloc;arith.diff]
#    6AP6-5 (m/s) (F8.5)  Differential radial velocity 6AP6-5 [ucd=phys.veloc;arith.diff]
#    9AP2-1 (m/s) (F8.5)  Differential radial velocity 9AP2-1 [ucd=phys.veloc;arith.diff]
#    9AP3-2 (m/s) (F8.5)  Differential radial velocity 9AP3-2 [ucd=phys.veloc;arith.diff]
#    9AP4-3 (m/s) (F8.5)  Differential radial velocity 9AP4-3 [ucd=phys.veloc;arith.diff]
#    9AP5-4 (m/s) (F8.5)  Differential radial velocity 9AP5-4 [ucd=phys.veloc;arith.diff]
#    9AP6-5 (m/s) (F8.5)  Differential radial velocity 9AP6-5 [ucd=phys.veloc;arith.diff]
#    9AP7-6 (m/s) (F8.5)  Differential radial velocity 9AP7-6 [ucd=phys.veloc;arith.diff]
#    9AP8-7 (m/s) (F8.5)  Differential radial velocity 9AP8-7 [ucd=phys.veloc;arith.diff]
#    9AP9-8 (m/s) (F9.5)  Differential radial velocity 9AP9-8 [ucd=phys.veloc;arith.diff]
#----------- --------- -------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- #---------
#                      e_                 FWH               l                 Na       3AP2     3AP3     6AP2     6AP3     6AP4     6AP5     6AP6     9AP2     9AP3     9AP4     9AP5     9AP6     9AP7     9AP8     #9AP      
#RJD (d)     RV (m/s)  RV (m/s) BIS (m/s) M (km/s) Halpha   ogR'(HK) NaD1     D2 (m/s) -1 (m/s) -2 (m/s) -1 (m/s) -2 (m/s) -3 (m/s) -4 (m/s) -5 (m/s) -1 (m/s) -2 (m/s) -3 (m/s) -4 (m/s) -5 (m/s) -6 (m/s) -7 (m/s) #9-8 (m/s)
#----------- --------- -------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- #---------
RJD RV e_RV BIS FWHM Halpha logR'(HK) NaD1 NaD2 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8
53673.83224  -5.03232  0.29053 -41.84457  6.38638  0.16717  0.96896  0.70180  0.49119  1.41175  4.28494  1.16664  1.19462 -0.25523  2.94442  4.91861  1.07096  0.05560  1.30976 -1.19625  2.23671  1.52125  3.01405   3.49064
53673.83410  -3.80004  0.29288 -40.89430  6.38870  0.16744  0.96924  0.70275  0.49063  0.84422  4.79525 -1.81578  2.14392 -1.62824  5.08416  1.90946 -2.55707 -0.12232  1.44285 -1.55918  2.60533  2.92414  1.11600   1.47776
53673.83601  -4.08720  0.29163 -41.15639  6.38647  0.16773  0.96828  0.70283  0.49028  0.49807  3.73965 -0.80016  0.42095  0.67128  2.07367  4.34945  0.99432  0.03397  0.07553 -0.83088  2.66471  0.62691  4.26229  -1.01287
53674.72825  -3.24112  0.25417 -42.05271  6.38475  0.16731  0.97074  0.70290  0.49178  2.30491  4.31478  0.48152  1.87093  0.62462  2.95501  3.60389  1.97176 -0.12245  0.99778  1.26290  1.13826  2.31186  0.05334   5.40510
53674.73017  -3.72759  0.25980 -42.06555  6.38499  0.16768  0.97052  0.70259  0.49140  1.69999  4.21473 -0.96840  2.00006 -0.02661  3.99343  0.80691 -0.55835  0.81993  1.30893 -0.76375  1.83434  3.35897 -2.24102   5.54605
53674.73205  -2.56771  0.25601 -41.29358  6.38608  0.16781  0.97044  0.70282  0.49061  1.31355  3.40442 -0.88606  1.91600 -0.72617  3.51766  0.94418 -0.62458 -0.27736  1.39851 -0.65339  1.85309  2.27777 -0.48475   1.94492
53674.73388  -3.89074  0.25319 -41.42822  6.38466  0.16785  0.97057  0.70292  0.49193  2.81868  3.77596 -0.12691  2.62950  0.49088  3.32908  0.64705  2.67017 -0.83673  1.86164  0.92224  1.47027  2.48750  0.10793  -1.29457
53674.73578  -3.40670  0.24880 -41.98827  6.38465  0.16802  0.97068  0.70273  0.49190  2.20651  1.95809 -1.37048  2.29309  0.70516  0.84514  2.55396 -0.23302 -0.29961  1.28958  1.05010  1.60183  0.03907 -0.37842   4.02038
53674.73763  -4.01691  0.25228 -41.54523  6.38474  0.16725  0.97004  0.70279  0.49152  2.01590  2.70925  0.98177  1.31066  0.87534  1.30709  3.22617  1.99036  0.55616  0.22181  2.31011 -0.56162  1.44041  1.82343   0.53843
53691.58250  -3.60844  0.30943 -41.03829  6.38723  0.16783  0.96897  0.70403  0.49172  1.91684  2.40628  0.83511  1.93364 -0.55847  2.52686  0.54419  1.06055  0.85745  1.23011  0.78947 -1.20971  2.36922  1.96625  -1.74993
53691.58418  -2.86164  0.30764 -40.88803  6.38538  0.16724  0.96997  0.70451  0.49184  0.75199  2.84329 -0.63315  1.12696 -0.40896  2.44598  1.87308  1.35430  0.65562  0.39528 -0.69802  0.93798  1.47811  3.35403  -3.20349
53691.58594  -2.97988  0.32022 -40.88018  6.38573  0.16756  0.97024  0.70374  0.49222  1.08082  1.35644 -1.77936  2.07003 -1.00818  0.72224  3.47390 -0.36752  0.19671  1.48340 -0.99804  0.51263 -0.31024  3.72168   0.50145
53691.58769  -3.96132  0.29612 -41.30439  6.38605  0.16766  0.97055  0.70463  0.49084  1.97862  2.74908  1.46382  1.17295  0.82745  1.44954  2.62662  0.53566  0.98686  0.59049  0.84725  1.19296  0.51792  1.77181   1.93877
53691.58946  -4.31768  0.28836 -41.32099  6.38460  0.16780  0.97037  0.70422  0.49264  3.70453  0.84829 -0.98905  4.23507 -0.51839  0.14099  3.03652  2.25178  0.39708  3.08178  0.39586 -0.42923  0.15252 -0.01870   5.97024
53693.57331  -0.60648  0.27784 -41.27868  6.39004  0.16810  0.97011  0.70281  0.49124  0.34387  0.68744  0.35963  0.55419 -0.70771 -0.32910  4.80715  1.96246 -0.61075  0.60384  0.06775 -1.00044  0.18276  2.54083   1.43310
53693.57504  -1.74431  0.26401 -41.31468  6.38826  0.16823  0.96998  0.70343  0.49047  0.79486  1.37389  1.94733  0.44441 -0.53274  0.56698  3.79244  2.60841  0.39623  0.43225 -0.28772 -0.14727  0.38507  2.14039   2.84250
53693.57677  -2.93679  0.27144 -41.69281  6.38737  0.16799  0.97038  0.70435  0.49104  1.53928  1.23523  2.13178  1.04591 -0.34033  0.46806  3.22821  2.67045  1.14747  0.91998 -0.36999 -0.40867  0.69576  1.88546   1.76402
53693.57855  -1.30927  0.26868 -40.90159  6.38841  0.16798  0.97094  0.70361  0.49073  1.98006  0.29570  0.26691  1.68310  0.48685 -0.85618  3.02842  1.66644  0.71072  1.00341  1.39151 -1.50192 -0.69852  4.15869  -1.09258
53693.58026  -3.04660  0.26096 -41.36734  6.38729  0.16859  0.97046  0.70432  0.49054  1.18780  0.13758  0.98766  1.18793 -0.68382 -0.66666  4.10463  3.34893  0.52927  0.37615  0.14356 -0.08953 -0.97368  2.02956   2.47333
53693.58201  -3.51242  0.25778 -41.28846  6.38527  0.16835  0.97015  0.70407  0.49047  2.04461  0.84031 -0.22488  2.32123 -0.47073  0.39298  2.46817  1.16903  0.38725  2.14487 -0.52917 -0.60349  0.56933  2.64652  -0.74271
53693.58378  -2.49527  0.26652 -41.23750  6.38666  0.16881  0.97059  0.70455  0.49045  1.10358  0.21960  1.18450  0.54210  0.45783 -0.61771  1.96624  2.65309 -0.52833  0.54419  0.85684 -0.22377 -0.89524  2.84627  -1.60357
53693.58551  -2.00146  0.26956 -42.15253  6.38635  0.16820  0.97080  0.70431  0.49105  0.44594  1.65514  0.08139  0.65038 -0.51653  1.85236  0.30478  0.31936  1.13487 -0.29367  1.12118 -1.90263  2.68353 -0.16637  -0.36614
53693.58731  -2.09125  0.26583 -41.84371  6.38789  0.16815  0.97101  0.70341  0.49158  1.87012  1.51540 -0.96981  2.04068  0.27249  1.03787  1.07782  1.36536 -0.38449  1.82786  0.15607 -0.19409  1.23622  0.98429  -0.33148
53693.58900  -3.05226  0.26284 -42.33484  6.38726  0.16822  0.97049  0.70449  0.49131  0.25079  2.58972  0.58417  0.10444 -0.06600  2.55751  0.23259  2.08043  0.19824  0.09477 -0.56186  0.31177  2.62529  0.47359  -1.55331
53693.59075  -1.98853  0.26124 -41.00038  6.38738  0.16876  0.97119  0.70389  0.49001  1.34099  2.38899  0.85435  1.14795 -0.15493  2.29804  0.59460  2.88432 -0.01338  0.67483  0.76555 -0.70870  2.33488  1.39697  -2.32596
53693.59250  -1.85260  0.28364 -41.13190  6.38777  0.16788  0.97183  0.70422  0.49089  0.04581  1.97012  1.43344 -0.48498  0.23025  1.18884  2.10865  3.49561  0.52249 -0.90151  0.02717  0.66451  0.80096  0.92448   2.07526
53693.59426   0.11954  0.28191 -42.55822  6.38800  0.16779  0.97135  0.70494  0.49086  0.29686 -0.88302  2.19304  0.10476 -1.01676 -1.73643  4.67473  2.84143  0.96278 -0.25256 -0.12151 -0.91223 -1.52586  3.16836   0.31894
53693.59598  -1.38191  0.28346 -42.26605  6.38820  0.16820  0.97111  0.70447  0.49107  0.85123 -0.45388  0.44340  0.95883 -0.52701 -1.27487  3.64418  1.63256  0.67283  0.36037 -0.02594 -0.18349 -1.02575  1.89599  -0.45916
53693.59774  -0.96286  0.27502 -41.24291  6.38891  0.16803  0.97077  0.70525  0.49035  0.57138  0.27876  1.50880  0.68666 -1.26106  0.13013  2.82025  2.69434  0.91073  0.16853 -0.73876  0.00748 -0.28439  1.71739   1.25980
53693.59949  -2.18323  0.27584 -40.88461  6.38942  0.16823  0.97057  0.70529  0.49235  0.17721  0.91517  0.63131  0.43951 -1.00273  0.04753  4.72900  1.77059  0.09207  0.07882  0.12430 -0.97639  0.11695  3.58767   0.01252
53693.60124  -3.26882  0.27025 -40.99157  6.38725  0.16825  0.96940  0.70518  0.49241  0.79048  0.90135  2.89806  0.01826 -0.22503  0.77567  0.83925  2.18547  1.57605 -0.84875  1.56973 -1.29586  0.67791  0.70413   1.55766
53693.60300  -2.43252  0.26368 -41.25946  6.38851  0.16844  0.97063  0.70443  0.49200  0.49919  1.40076  1.51088  0.06448 -0.04885  0.52525  3.05612  0.45707  1.08854  0.06546 -0.58784  0.61751 -0.08723  3.54793  -0.93209
53693.60471  -3.51114  0.26189 -41.03990  6.38737  0.16837  0.97002  0.70376  0.49093  1.55021  1.29010  1.09524  1.47917 -0.59724  0.51352  3.75184  1.15314  0.39330  1.14841  1.05687 -2.10316  0.98002  3.42765   0.15960
53693.60647  -3.03926  0.26127 -41.05470  6.38648  0.16886  0.96927  0.70451  0.49272  1.22543  1.59075  2.02090  0.28213  0.75878  0.11351  3.57851  2.67996  1.92457 -0.67368  1.22818 -0.57912 -0.17443  4.46849  -0.76054
53693.60823  -3.70480  0.26259 -40.85267  6.38517  0.16857  0.96920  0.70327  0.49251  1.72665  1.83368  0.19122  1.47209  0.44613  0.87978  2.36355  2.52287 -0.06501  0.68363  1.42488 -0.41145  0.93368  1.83048  -0.94061
53693.60996  -3.43474  0.26622 -41.12253  6.38708  0.16843  0.96952  0.70339  0.49349  1.69365  2.21942  0.17298  1.31143  0.75149  1.44336  1.19361  1.61018  0.44725  0.38810  1.63587 -0.34208  1.65833  0.34341  -0.12407
53693.61170  -3.56599  0.27066 -42.00793  6.38630  0.16788  0.96888  0.70307  0.49277  2.55619  0.87351  0.57943  2.29221  0.19754 -0.52743  4.32003  2.87833 -0.13383  1.54923  1.65882 -1.11604 -0.26969  2.88043   0.79514
53693.61346  -3.50070  0.27927 -40.83304  6.38557  0.16799  0.96836  0.70376  0.49255  1.54218  2.15152  2.26657  0.98151 -0.24922  0.89405  4.64073  3.96571 -0.17936  0.98498  0.59970 -0.93237  0.58041  6.20467  -3.67602
53693.61521  -5.01102  0.28846 -41.02594  6.38533  0.16842  0.96798  0.70397  0.49199  2.31017  1.62060  1.05573  1.81259  0.40259  0.35869  3.37679  1.74026  0.58417  1.82930 -0.68974  1.24191 -0.36212  3.38456  -0.09005
53694.62289  -3.81785  0.28229 -42.46367  6.38526  0.16740  0.96897  0.70326  0.49087  1.07133  3.36542  1.53054  1.29558 -1.52292  2.88169  4.28092  2.61719  1.09563  0.17463 -0.29900  0.61757  1.47693  2.70345   3.12289
53694.62460  -4.30843  0.29642 -41.79997  6.38560  0.16831  0.96996  0.70340  0.49142  1.53247  2.06998  0.80033  1.35398 -0.12837  1.17666  3.06573  1.80157 -0.32373  1.36568 -0.37652  1.05756  0.24331  2.60800   0.88068
53694.62635  -3.53636  0.32861 -41.88500  6.38410  0.16815  0.96955  0.70264  0.49129  0.97245  3.91790  0.42910  1.31537 -1.00318  4.24973  0.62037  2.76408 -0.93845  0.88891  0.22076  0.09828  4.42689 -3.12622   4.43155
53694.62814  -3.61368  0.30204 -41.82043  6.38625  0.16802  0.97063  0.70295  0.49023  1.09174  3.93065  2.57038  0.72471 -0.85262  2.70420  5.31529  2.34593  1.09716 -0.11704  0.36553  0.48576  1.40083  3.00657   5.15153
53694.62984  -2.68579  0.30168 -41.52824  6.38594  0.16796  0.96836  0.70275  0.49036  1.17461  2.36158  0.18179  1.64166 -1.13507  1.62397  4.22616  1.84816 -1.60524  1.83321 -0.70567  0.99151  1.31657 -0.30678   5.00888
